record_id,mof_id,MOF_name,chemical_formula,metal_node,organic_linker,pore_size,pore_size_unit,CSD_refcode,MOFid,MOFkey,source_material_id,topology,surface_area_BET,surface_area_BET_unit,pore_volume,pore_volume_unit,gas_type,gas_name,temperature,temperature_unit,pressure,pressure_unit,measurement_type,capacity_value,capacity_unit,isotherm_id,DOI,publication_year,source_id,source_type,source_url,source_location,source_database,extraction_method,extraction_confidence,notes
mofxdb_hMOF-7_iso5105128_p1,mofxdb_hMOF-7,hMOF-7,C48 F12 H12 O26 Zn8,Zn,from MOFid/CIF; not normalized yet,2.25,A,,[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,Zn.LWKOWFVDUSZDRA.SEOCHRNHZMPVAE.YUWKPDBHJFNMAD.MOFkey-v1.pcu,15340,pcu,422.4,m2/g,,,CO2,CarbonDioxide,298.0,K,0.01,bar,capacity,1.20398,mol/kg,5105128,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105128.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5105128_p2,mofxdb_hMOF-7,hMOF-7,C48 F12 H12 O26 Zn8,Zn,from MOFid/CIF; not normalized yet,2.25,A,,[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,Zn.LWKOWFVDUSZDRA.SEOCHRNHZMPVAE.YUWKPDBHJFNMAD.MOFkey-v1.pcu,15340,pcu,422.4,m2/g,,,CO2,CarbonDioxide,298.0,K,0.1,bar,capacity,3.16225,mol/kg,5105128,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105128.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5105128_p3,mofxdb_hMOF-7,hMOF-7,C48 F12 H12 O26 Zn8,Zn,from MOFid/CIF; not normalized yet,2.25,A,,[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,Zn.LWKOWFVDUSZDRA.SEOCHRNHZMPVAE.YUWKPDBHJFNMAD.MOFkey-v1.pcu,15340,pcu,422.4,m2/g,,,CO2,CarbonDioxide,298.0,K,2.5,bar,capacity,5.46213,mol/kg,5105128,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105128.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5105128_p4,mofxdb_hMOF-7,hMOF-7,C48 F12 H12 O26 Zn8,Zn,from MOFid/CIF; not normalized yet,2.25,A,,[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,Zn.LWKOWFVDUSZDRA.SEOCHRNHZMPVAE.YUWKPDBHJFNMAD.MOFkey-v1.pcu,15340,pcu,422.4,m2/g,,,CO2,CarbonDioxide,298.0,K,0.05,bar,capacity,2.48016,mol/kg,5105128,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105128.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5105128_p5,mofxdb_hMOF-7,hMOF-7,C48 F12 H12 O26 Zn8,Zn,from MOFid/CIF; not normalized yet,2.25,A,,[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,Zn.LWKOWFVDUSZDRA.SEOCHRNHZMPVAE.YUWKPDBHJFNMAD.MOFkey-v1.pcu,15340,pcu,422.4,m2/g,,,CO2,CarbonDioxide,298.0,K,0.5,bar,capacity,4.51262,mol/kg,5105128,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105128.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5380733_p1,mofxdb_hMOF-7,hMOF-7,C48 F12 H12 O26 Zn8,Zn,from MOFid/CIF; not normalized yet,2.25,A,,[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,Zn.LWKOWFVDUSZDRA.SEOCHRNHZMPVAE.YUWKPDBHJFNMAD.MOFkey-v1.pcu,15340,pcu,422.4,m2/g,,,N2,Nitrogen,298.0,K,0.09,bar,capacity,0.0134567,mol/kg,5380733,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5380733.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5380733_p2,mofxdb_hMOF-7,hMOF-7,C48 F12 H12 O26 Zn8,Zn,from MOFid/CIF; not normalized yet,2.25,A,,[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,Zn.LWKOWFVDUSZDRA.SEOCHRNHZMPVAE.YUWKPDBHJFNMAD.MOFkey-v1.pcu,15340,pcu,422.4,m2/g,,,N2,Nitrogen,298.0,K,0.9,bar,capacity,0.172658,mol/kg,5380733,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5380733.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5518385_p1,mofxdb_hMOF-7,hMOF-7,C48 F12 H12 O26 Zn8,Zn,from MOFid/CIF; not normalized yet,2.25,A,,[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,Zn.LWKOWFVDUSZDRA.SEOCHRNHZMPVAE.YUWKPDBHJFNMAD.MOFkey-v1.pcu,15340,pcu,422.4,m2/g,,,CH4,Methane,298.0,K,2.5,bar,capacity,0.714699,mol/kg,5518385,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5518385.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5518385_p2,mofxdb_hMOF-7,hMOF-7,C48 F12 H12 O26 Zn8,Zn,from MOFid/CIF; not normalized yet,2.25,A,,[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,Zn.LWKOWFVDUSZDRA.SEOCHRNHZMPVAE.YUWKPDBHJFNMAD.MOFkey-v1.pcu,15340,pcu,422.4,m2/g,,,CH4,Methane,298.0,K,4.5,bar,capacity,0.927942,mol/kg,5518385,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5518385.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5518385_p3,mofxdb_hMOF-7,hMOF-7,C48 F12 H12 O26 Zn8,Zn,from MOFid/CIF; not normalized yet,2.25,A,,[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,Zn.LWKOWFVDUSZDRA.SEOCHRNHZMPVAE.YUWKPDBHJFNMAD.MOFkey-v1.pcu,15340,pcu,422.4,m2/g,,,CH4,Methane,298.0,K,0.05,bar,capacity,0.0270558,mol/kg,5518385,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5518385.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5518385_p4,mofxdb_hMOF-7,hMOF-7,C48 F12 H12 O26 Zn8,Zn,from MOFid/CIF; not normalized yet,2.25,A,,[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,Zn.LWKOWFVDUSZDRA.SEOCHRNHZMPVAE.YUWKPDBHJFNMAD.MOFkey-v1.pcu,15340,pcu,422.4,m2/g,,,CH4,Methane,298.0,K,0.5,bar,capacity,0.237094,mol/kg,5518385,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5518385.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
