record_id,mof_id,MOF_name,chemical_formula,metal_node,organic_linker,pore_size,pore_size_unit,CSD_refcode,MOFid,MOFkey,source_material_id,topology,surface_area_BET,surface_area_BET_unit,pore_volume,pore_volume_unit,gas_type,gas_name,temperature,temperature_unit,pressure,pressure_unit,measurement_type,capacity_value,capacity_unit,isotherm_id,DOI,publication_year,source_id,source_type,source_url,source_location,source_database,extraction_method,extraction_confidence,notes
mofxdb_hMOF-8_iso5105129_p1,mofxdb_hMOF-8,hMOF-8,C72 F18 H18 O39 Zn12,Zn,from MOFid/CIF; not normalized yet,2.75,A,,,,15346,,15.0,m2/g,,,CO2,CarbonDioxide,298.0,K,0.01,bar,capacity,0.930434,mol/kg,5105129,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105129.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-8_iso5105129_p2,mofxdb_hMOF-8,hMOF-8,C72 F18 H18 O39 Zn12,Zn,from MOFid/CIF; not normalized yet,2.75,A,,,,15346,,15.0,m2/g,,,CO2,CarbonDioxide,298.0,K,0.1,bar,capacity,2.0167,mol/kg,5105129,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105129.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-8_iso5105129_p3,mofxdb_hMOF-8,hMOF-8,C72 F18 H18 O39 Zn12,Zn,from MOFid/CIF; not normalized yet,2.75,A,,,,15346,,15.0,m2/g,,,CO2,CarbonDioxide,298.0,K,2.5,bar,capacity,2.27838,mol/kg,5105129,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105129.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-8_iso5105129_p4,mofxdb_hMOF-8,hMOF-8,C72 F18 H18 O39 Zn12,Zn,from MOFid/CIF; not normalized yet,2.75,A,,,,15346,,15.0,m2/g,,,CO2,CarbonDioxide,298.0,K,0.05,bar,capacity,1.51365,mol/kg,5105129,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105129.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-8_iso5105129_p5,mofxdb_hMOF-8,hMOF-8,C72 F18 H18 O39 Zn12,Zn,from MOFid/CIF; not normalized yet,2.75,A,,,,15346,,15.0,m2/g,,,CO2,CarbonDioxide,298.0,K,0.5,bar,capacity,2.22299,mol/kg,5105129,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105129.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-8_iso5380734_p1,mofxdb_hMOF-8,hMOF-8,C72 F18 H18 O39 Zn12,Zn,from MOFid/CIF; not normalized yet,2.75,A,,,,15346,,15.0,m2/g,,,N2,Nitrogen,298.0,K,0.09,bar,capacity,0.0163284,mol/kg,5380734,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5380734.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-8_iso5380734_p2,mofxdb_hMOF-8,hMOF-8,C72 F18 H18 O39 Zn12,Zn,from MOFid/CIF; not normalized yet,2.75,A,,,,15346,,15.0,m2/g,,,N2,Nitrogen,298.0,K,0.9,bar,capacity,0.21507,mol/kg,5380734,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5380734.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-8_iso5518386_p1,mofxdb_hMOF-8,hMOF-8,C72 F18 H18 O39 Zn12,Zn,from MOFid/CIF; not normalized yet,2.75,A,,,,15346,,15.0,m2/g,,,CH4,Methane,298.0,K,2.5,bar,capacity,0.545387,mol/kg,5518386,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5518386.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-8_iso5518386_p2,mofxdb_hMOF-8,hMOF-8,C72 F18 H18 O39 Zn12,Zn,from MOFid/CIF; not normalized yet,2.75,A,,,,15346,,15.0,m2/g,,,CH4,Methane,298.0,K,4.5,bar,capacity,0.869867,mol/kg,5518386,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5518386.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-8_iso5518386_p3,mofxdb_hMOF-8,hMOF-8,C72 F18 H18 O39 Zn12,Zn,from MOFid/CIF; not normalized yet,2.75,A,,,,15346,,15.0,m2/g,,,CH4,Methane,298.0,K,0.05,bar,capacity,0.0125311,mol/kg,5518386,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5518386.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-8_iso5518386_p4,mofxdb_hMOF-8,hMOF-8,C72 F18 H18 O39 Zn12,Zn,from MOFid/CIF; not normalized yet,2.75,A,,,,15346,,15.0,m2/g,,,CH4,Methane,298.0,K,0.5,bar,capacity,0.132716,mol/kg,5518386,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5518386.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
