record_id,mof_id,gas_type,gas_name,temperature,temperature_unit,pressure,pressure_unit,capacity_value,capacity_unit,measurement_type,isotherm_id,DOI,publication_year,source_id,source_type,source_database,source_url,source_location,extraction_method,extraction_confidence,notes
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_25_0_375_13,mof_uio66_nh2_sonochemical,CO2,,25,C,0.375,bar,1.138,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_25_0_500_14,mof_uio66_nh2_sonochemical,CO2,,25,C,0.500,bar,1.430,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_25_0_625_15,mof_uio66_nh2_sonochemical,CO2,,25,C,0.625,bar,1.680,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_25_0_750_16,mof_uio66_nh2_sonochemical,CO2,,25,C,0.750,bar,1.918,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_25_0_875_17,mof_uio66_nh2_sonochemical,CO2,,25,C,0.875,bar,2.124,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_25_1_000_18,mof_uio66_nh2_sonochemical,CO2,,25,C,1.000,bar,2.330,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_0_000_19,mof_uio66_nh2_sonochemical,CO2,,50,C,0.000,bar,0.000,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_0_125_20,mof_uio66_nh2_sonochemical,CO2,,50,C,0.125,bar,0.498,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_0_250_21,mof_uio66_nh2_sonochemical,CO2,,50,C,0.250,bar,1.008,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_0_375_22,mof_uio66_nh2_sonochemical,CO2,,50,C,0.375,bar,1.387,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,,
