figure,series,gas_type,temperature,temperature_unit,pressure,pressure_unit,capacity_value,capacity_unit,digitization_note
Fig6_CO2_273K,CG-9,CO2,273,K,0.9,atm,7.459,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,CG-3,CO2,273,K,0.9,atm,6.040,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,Cu-BTC,CO2,273,K,0.9,atm,3.294,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,CG-15,CO2,273,K,0.9,atm,0.920,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,GO,CO2,273,K,0.9,atm,,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,CG-9,CO2,273,K,1.0,atm,7.857,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,CG-3,CO2,273,K,1.0,atm,3.379,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,Cu-BTC,CO2,273,K,1.0,atm,0.925,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,CG-15,CO2,273,K,1.0,atm,,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,GO,CO2,273,K,1.0,atm,,mmol/g,auto grayscale vertical-slice digitization; needs QA
