record_id,mof_id,MOF_name,chemical_formula,metal_node,organic_linker,pore_size,pore_size_unit,surface_area_BET,surface_area_BET_unit,pore_volume,pore_volume_unit,gas_type,gas_name,temperature,temperature_unit,pressure,pressure_unit,measurement_type,capacity_value,capacity_unit,source_id,source_type,source_url,DOI,publication_year,pdf_id,page,table_or_figure,extraction_confidence,notes
candidate_uio66_nh2_co2_298k_1bar_pdf_p6,mof_uio66_nh2_sonochemical,UiO-66-NH2,ZrO(H2O)1/3C8H3NH2O4 (as extracted from page text; verify formatting),Zr-based node,2-amino terephthalic acid / NH2-BDC,6.97,nm,993.1,m2/g,0.14,cm3/g,CO2,carbon dioxide,25,C,1,bar,capacity,3.2,mmol/g,paper_uio66_nh2_sonochemical_2023,scientific_paper,https://www.nature.com/articles/s41598-023-47221-6,10.1038/s41598-023-47221-6,2023,uio66_nh2_sonochemical_2023,6,Figure 6 / text paragraph,medium,Candidate parsed value; needs final manual verification before moving to pdf_extracted_records.csv.
candidate_uio66_nh2_co2_298k_20bar_pdf_p6,mof_uio66_nh2_sonochemical,UiO-66-NH2,ZrO(H2O)1/3C8H3NH2O4 (as extracted from page text; verify formatting),Zr-based node,2-amino terephthalic acid / NH2-BDC,6.97,nm,993.1,m2/g,0.14,cm3/g,CO2,carbon dioxide,25,C,20,bar,capacity,18.05,mmol/g,paper_uio66_nh2_sonochemical_2023,scientific_paper,https://www.nature.com/articles/s41598-023-47221-6,10.1038/s41598-023-47221-6,2023,uio66_nh2_sonochemical_2023,6,Text paragraph; high-pressure result refers to Fig. S1,medium,"Candidate parsed value; source references supplementary Fig. S1, so verify against SI before final inclusion."
