record_id,mof_id,gas_type,gas_name,temperature,temperature_unit,pressure,pressure_unit,capacity_value,capacity_unit,measurement_type,isotherm_id,DOI,publication_year,source_id,source_type,source_database,source_url,source_location,extraction_method,extraction_confidence,notes
mofxdb_hMOF-7_iso6150837_p1,mofxdb_hMOF-7,H2,Hydrogen,77.0,K,2.0,bar,24.6018,g/l,capacity,6150837,10.1021/acs.jpcc.6b08729,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6150837.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso6150837_p2,mofxdb_hMOF-7,H2,Hydrogen,77.0,K,100.0,bar,31.2826,g/l,capacity,6150837,10.1021/acs.jpcc.6b08729,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6150837.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-5_iso5105126_p1,mofxdb_hMOF-5,CO2,CarbonDioxide,298.0,K,0.01,bar,0.300224,mol/kg,capacity,5105126,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105126.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-5_iso5105126_p2,mofxdb_hMOF-5,CO2,CarbonDioxide,298.0,K,0.1,bar,1.59719,mol/kg,capacity,5105126,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105126.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-5_iso5105126_p3,mofxdb_hMOF-5,CO2,CarbonDioxide,298.0,K,2.5,bar,2.23941,mol/kg,capacity,5105126,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105126.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-5_iso5105126_p4,mofxdb_hMOF-5,CO2,CarbonDioxide,298.0,K,0.05,bar,1.13122,mol/kg,capacity,5105126,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105126.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-5_iso5105126_p5,mofxdb_hMOF-5,CO2,CarbonDioxide,298.0,K,0.5,bar,2.01518,mol/kg,capacity,5105126,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105126.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-5_iso5380731_p1,mofxdb_hMOF-5,N2,Nitrogen,298.0,K,0.09,bar,0.00650288,mol/kg,capacity,5380731,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5380731.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-5_iso5380731_p2,mofxdb_hMOF-5,N2,Nitrogen,298.0,K,0.9,bar,0.0636997,mol/kg,capacity,5380731,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5380731.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-5_iso5518383_p1,mofxdb_hMOF-5,CH4,Methane,298.0,K,2.5,bar,0.239088,mol/kg,capacity,5518383,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5518383.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
